Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,17.1965606878624,17.1965606878624,17.1965606878624,35.1096447377192,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.6922615476905,38.3787089832034,34.9296307738452,34.9296307738452,34.9296307738452,34.9296307738452,33.8461643196361,34.3694584015197,38.5616585156635,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,38.818463,36.5671446236559,47.5,47.5,47.5,46.6195310771889,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..,..
Afghanistan,AFG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.215021739766249,0.185514296386488,0.193149006563114,0.205665899110767,0.228237965423844,0.236211538527174,0.244437624894453,0.292337074372542,0.286211074303551,0.287804316102624,0.31753578596152,0.347863295726007,0.327603869657351,0.298647465611095,0.280987881083867,0.247614251046152,0.23589670774426,0.224963910315426,0.202007124113082,0.192221917434848,0.199371857842555,0.166263302067621,0.168281609531498,0.187924599142549,..
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.0325,102.0625,94.6233333333333,92.6975,104.498916666667,148.932916666667,150.633333333333,137.690583333333,143.709416666667,143.484833333333,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.936666666667,100.895833333333,108.184166666667,105.669166666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645,93.1233333333333
Albania,ALB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28258796394954,0.205788913502936,0.128579999573085,0.208362451468401,0.298914903124375,0.328263285794124,0.334381211653082,0.264020484277144,0.269374731725782,0.29762191055549,0.29178829234339,0.29800412667439,0.305729852859617,0.369198675374865,0.437295573399254,0.455865044627123,0.452711140834634,0.493483159452312,0.53115677182158,0.466838530011349,0.425294690191961,0.434683755269774,0.403526948687545,0.41746965537888,0.406655042417948,0.338947716570505,0.341435721464334,0.35479637576784,0.391740625940434,0.369146777376543,0.370094986519578,0.397679127835201,0.352097191777966,0.40335150101247,0.426244495184897
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.93706000393706,4.91263833685897,4.48051495321131,3.96249541224223,4.180749999,3.94940833233333,4.163824999,4.14675833233333,3.965899999,3.85326666566667,3.837449999,4.31580833233333,4.59219166566667,4.788799999,4.98337499958333,5.0278,4.70231666666666,4.84974166666666,5.91476666666667,7.60855833333333,8.95750833333333,18.472875,21.836075,23.3454066666667,35.0585008333333,47.6627266666667,54.7489333333333,57.70735,58.7389583333333,66.573875,75.2597916666666,77.2150208333334,79.6819,77.394975,72.06065,73.2763083333333,72.6466166666667,69.2924,64.5828,72.6474166666667,74.3859833333333,72.9378833333333,77.5359666666667,79.3684,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333,134.053241666667
Algeria,DZA,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.349072158955905,0.251795487868802,0.253932762296708,0.26362675283214,0.221857028143508,0.205513050996597,0.217902405142491,0.21745696984504,0.204648518475588,0.197373532119358,0.209444328076976,0.198700284430704,0.19220526156681,0.211406618847305,0.24641981336296,0.264009661808717,0.286182736655584,0.312849104730777,0.379104060891039,0.310255008985016,0.345937556869882,0.40412315365095,0.417804255057958,0.416093244107695,0.414770264586078,0.339316269216244,0.329292751429834,0.337543782856016,0.333442708969579,0.321644246444574,0.295313224987704,0.286997163356223,0.313306579243738,0.318822657842878,0.320814243473809
